0: Popularity of movies with age certification R and genres drama
1: Popularity of movies with age certification R and genres action
2: Popularity of movies with age certification R and genres thriller
3: Popularity of movies with age certification R and genres comedy
4: Popularity of movies with age certification NC-17 and genres drama
5: Popularity of movies with age certification NC-17 and genres action
6: Popularity of movies with age certification NC-17 and genres thriller
7: Popularity of movies with age certification NC-17 and genres comedy
8: Popularity of movies with age certification TV-Y7 and genres drama
9: Popularity of movies with age certification TV-Y7 and genres action
10: Popularity of movies with age certification TV-Y7 and genres thriller
11: Popularity of movies with age certification TV-Y7 and genres comedy

Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -0.381     0.339    -0.880     0.117
 (0 - 2)     -0.205     0.930    -0.642     0.232
 (0 - 3)      0.589     0.006     0.090     1.087
 (0 - 4)     -0.290     1.000    -1.833     1.253
 (0 - 5)      0.255     1.000    -1.519     2.029
 (0 - 6)      0.523     0.999    -1.482     2.529
 (0 - 7)      2.276     0.172    -0.365     4.916
 (0 - 8)     -0.155     1.000    -1.128     0.818
 (0 - 9)      0.289     0.958    -0.373     0.951
 (0 - 10)      0.462     1.000    -1.417     2.340
 (0 - 11)      0.286     0.943    -0.343     0.914
 (1 - 0)      0.381     0.339    -0.117     0.880
 (1 - 2)      0.176     0.994    -0.342     0.694
 (1 - 3)      0.970     0.000     0.399     1.541
 (1 - 4)      0.091     1.000    -1.477     1.659
 (1 - 5)      0.636     0.992    -1.159     2.432
 (1 - 6)      0.905     0.950    -1.120     2.929
 (1 - 7)      2.657     0.050     0.002     5.312
 (1 - 8)      0.226     1.000    -0.786     1.238
 (1 - 9)      0.670     0.095    -0.048     1.389
 (1 - 10)      0.843     0.952    -1.056     2.742
 (1 - 11)      0.667     0.067    -0.020     1.354
 (2 - 0)      0.205     0.930    -0.232     0.642
 (2 - 1)     -0.176     0.994    -0.694     0.342
 (2 - 3)      0.794     0.000     0.276     1.312
 (2 - 4)     -0.085     1.000    -1.635     1.464
 (2 - 5)      0.460     1.000    -1.319     2.240
 (2 - 6)      0.729     0.990    -1.281     2.739
 (2 - 7)      2.481     0.090    -0.163     5.125
 (2 - 8)      0.050     1.000    -0.933     1.033
 (2 - 9)      0.494     0.413    -0.183     1.171
 (2 - 10)      0.667     0.992    -1.217     2.550
 (2 - 11)      0.491     0.343    -0.153     1.135
 (3 - 0)     -0.589     0.006    -1.087    -0.090
 (3 - 1)     -0.970     0.000    -1.541    -0.399
 (3 - 2)     -0.794     0.000    -1.312    -0.276
 (3 - 4)     -0.879     0.798    -2.447     0.689
 (3 - 5)     -0.334     1.000    -2.129     1.462
 (3 - 6)     -0.065     1.000    -2.090     1.959
 (3 - 7)      1.687     0.637    -0.968     4.342
 (3 - 8)     -0.744     0.401    -1.756     0.268
 (3 - 9)     -0.300     0.970    -1.018     0.419
 (3 - 10)     -0.127     1.000    -2.026     1.772
 (3 - 11)     -0.303     0.955    -0.990     0.384
 (4 - 0)      0.290     1.000    -1.253     1.833
 (4 - 1)     -0.091     1.000    -1.659     1.477
 (4 - 2)      0.085     1.000    -1.464     1.635
 (4 - 3)      0.879     0.798    -0.689     2.447
 (4 - 5)      0.546     1.000    -1.769     2.860
 (4 - 6)      0.814     0.996    -1.682     3.310
 (4 - 7)      2.566     0.193    -0.464     5.596
 (4 - 8)      0.135     1.000    -1.642     1.912
 (4 - 9)      0.579     0.991    -1.048     2.207
 (4 - 10)      0.752     0.997    -1.644     3.147
 (4 - 11)      0.576     0.991    -1.038     2.190
 (5 - 0)     -0.255     1.000    -2.029     1.519
 (5 - 1)     -0.636     0.992    -2.432     1.159
 (5 - 2)     -0.460     1.000    -2.240     1.319
 (5 - 3)      0.334     1.000    -1.462     2.129
 (5 - 4)     -0.546     1.000    -2.860     1.769
 (5 - 6)      0.268     1.000    -2.377     2.913
 (5 - 7)      2.021     0.624    -1.133     5.174
 (5 - 8)     -0.411     1.000    -2.391     1.570
 (5 - 9)      0.034     1.000    -1.814     1.881
 (5 - 10)      0.206     1.000    -2.344     2.757
 (5 - 11)      0.031     1.000    -1.805     1.866
 (6 - 0)     -0.523     0.999    -2.529     1.482
 (6 - 1)     -0.905     0.950    -2.929     1.120
 (6 - 2)     -0.729     0.990    -2.739     1.281
 (6 - 3)      0.065     1.000    -1.959     2.090
 (6 - 4)     -0.814     0.996    -3.310     1.682
 (6 - 5)     -0.268     1.000    -2.913     2.377
 (6 - 7)      1.752     0.847    -1.537     5.042
 (6 - 8)     -0.679     0.997    -2.869     1.511
 (6 - 9)     -0.235     1.000    -2.305     1.836
 (6 - 10)     -0.062     1.000    -2.778     2.654
 (6 - 11)     -0.238     1.000    -2.298     1.823
 (7 - 0)     -2.276     0.172    -4.916     0.365
 (7 - 1)     -2.657     0.050    -5.312    -0.002
 (7 - 2)     -2.481     0.090    -5.125     0.163
 (7 - 3)     -1.687     0.637    -4.342     0.968
 (7 - 4)     -2.566     0.193    -5.596     0.464
 (7 - 5)     -2.021     0.624    -5.174     1.133
 (7 - 6)     -1.752     0.847    -5.042     1.537
 (7 - 8)     -2.431     0.157    -5.214     0.352
 (7 - 9)     -1.987     0.394    -4.677     0.704
 (7 - 10)     -1.814     0.790    -5.028     1.400
 (7 - 11)     -1.990     0.387    -4.672     0.693
 (8 - 0)      0.155     1.000    -0.818     1.128
 (8 - 1)     -0.226     1.000    -1.238     0.786
 (8 - 2)     -0.050     1.000    -1.033     0.933
 (8 - 3)      0.744     0.401    -0.268     1.756
 (8 - 4)     -0.135     1.000    -1.912     1.642
 (8 - 5)      0.411     1.000    -1.570     2.391
 (8 - 6)      0.679     0.997    -1.511     2.869
 (8 - 7)      2.431     0.157    -0.352     5.214
 (8 - 9)      0.444     0.976    -0.658     1.546
 (8 - 10)      0.617     0.998    -1.458     2.691
 (8 - 11)      0.441     0.974    -0.641     1.523
 (9 - 0)     -0.289     0.958    -0.951     0.373
 (9 - 1)     -0.670     0.095    -1.389     0.048
 (9 - 2)     -0.494     0.413    -1.171     0.183
 (9 - 3)      0.300     0.970    -0.419     1.018
 (9 - 4)     -0.579     0.991    -2.207     1.048
 (9 - 5)     -0.034     1.000    -1.881     1.814
 (9 - 6)      0.235     1.000    -1.836     2.305
 (9 - 7)      1.987     0.394    -0.704     4.677
 (9 - 8)     -0.444     0.976    -1.546     0.658
 (9 - 10)      0.173     1.000    -1.776     2.121
 (9 - 11)     -0.003     1.000    -0.817     0.811
 (10 - 0)     -0.462     1.000    -2.340     1.417
 (10 - 1)     -0.843     0.952    -2.742     1.056
 (10 - 2)     -0.667     0.992    -2.550     1.217
 (10 - 3)      0.127     1.000    -1.772     2.026
 (10 - 4)     -0.752     0.997    -3.147     1.644
 (10 - 5)     -0.206     1.000    -2.757     2.344
 (10 - 6)      0.062     1.000    -2.654     2.778
 (10 - 7)      1.814     0.790    -1.400     5.028
 (10 - 8)     -0.617     0.998    -2.691     1.458
 (10 - 9)     -0.173     1.000    -2.121     1.776
 (10 - 11)     -0.176     1.000    -2.113     1.762
 (11 - 0)     -0.286     0.943    -0.914     0.343
 (11 - 1)     -0.667     0.067    -1.354     0.020
 (11 - 2)     -0.491     0.343    -1.135     0.153
 (11 - 3)      0.303     0.955    -0.384     0.990
 (11 - 4)     -0.576     0.991    -2.190     1.038
 (11 - 5)     -0.031     1.000    -1.866     1.805
 (11 - 6)      0.238     1.000    -1.823     2.298
 (11 - 7)      1.990     0.387    -0.693     4.672
 (11 - 8)     -0.441     0.974    -1.523     0.641
 (11 - 9)      0.003     1.000    -0.811     0.817
 (11 - 10)      0.176     1.000    -1.762     2.113
