,0
collection,13
includes,13
world,685
war,172
ii-era,1
propaganda,1
film,229
—,159
many,101
graphic,1
offensive,2
discussed,1
docuseries,52
five,100
came,22
back,267
mentally,4
unstable,7
vietnam,12
veteran,33
work,224
night-time,2
taxi,4
driver,35
new,615
york,93
city,254
perceived,1
decadence,2
sleaze,1
feed,4
urge,8
violent,45
action,51
intent,7
seeing,10
cahulawassee,1
river,16
turned,54
one,598
huge,33
lake,11
outdoor,1
fanatic,2
lewis,2
medlock,1
take,466
friend,582
river-rafting,1
trip,75
'll,32
never,81
forget,7
dangerous,75
american,138
back-country,1
king,75
arthur,8
accompanied,11
squire,2
recruit,14
knight,21
round,15
table,5
including,64
sir,10
bedevere,1
wise,4
lancelot,1
brave,25
robin,7
not-quite-so-brave-as-sir-lancelot,1
galahad,1
pure,9
way,271
battle,113
black,58
despite,68
limb,1
chopped,1
insists,6
still,65
fight,153
reach,35
camelot,3
decides,116
enter,28
silly,9
place,126
military,32
prisoner,24
ii,25
ordered,7
infiltrate,14
well-guarded,1
enemy,47
château,1
kill,57
nazi,18
officer,76
vacationing,3
soldier,54
facing,23
death,184
sentence,13
variety,19
crime,157
agree,13
mission,131
possible,20
commuting,1
british,41
sketch,24
comedy,219
series,388
show,239
composed,7
surreality,2
risqué,1
innuendo-laden,1
humour,6
sight,19
gag,2
observational,4
without,62
punchlines,2
brian,8
cohen,3
average,7
young,553
jewish,17
man,415
ridiculous,4
event,170
gain,21
reputation,11
messiah,1
dodging,2
follower,5
scolded,1
shrill,1
mother,214
hapless,5
ha,602
contend,5
pompous,1
pontius,1
pilate,2
acronym-obsessed,1
member,99
separatist,1
movement,34
rife,2
monty,12
python,12
signature,12
absurdity,7
tale,67
find,582
life,1204
paralleling,1
biblical,2
lore,1
albeit,4
laugh,24
madman,3
dubbed,4
'scorpio,1
',198
terrorizes,2
san,20
francisco,15
hard-nosed,1
cop,85
harry,9
callahan,1
–,90
famous,69
take-no-prisoners,1
approach,16
law,58
enforcement,4
tasked,22
hunting,10
psychopath,3
eventually,32
collar,4
scorpio,1
process,38
rescuing,6
kidnap,12
victim,48
see,97
walk,28
technicality,1
maverick,7
detective,74
determined,61
nail,2
maniac,4
bored,10
waitress,6
bonnie,3
parker,10
fall,189
love,640
ex-con,8
named,99
clyde,3
barrow,4
together,229
start,145
spree,3
country,119
stealing,6
car,68
robbing,3
bank,47
two,487
small,121
child,200
ship,24
cook,19
survive,56
shipwreck,1
safety,7
idyllic,5
tropical,8
island,84
soon,153
however,104
dy,30
boy,185
girl,315
left,80
day,285
become,199
year,530
emmeline,1
richard,14
make,289
home,281
surrounded,20
exotic,13
creature,46
nature,29
beauty,29
ever,103
civilization,13
team,226
allied,5
saboteur,3
assigned,19
impossible,35
impregnable,1
nazi-held,1
destroy,31
enormous,6
long-range,1
field,30
gun,15
prevent,19
rescue,58
trapped,38
arrogant,10
texas,15
millionaire,6
hire,26
four,147
adventurer,7
kidnapped,30
wife,168
notorious,31
mexican,32
bandit,4
pryor,3
delivers,16
monologue,4
race,51
sex,69
family,692
favorite,31
target—himself,1
live,176
terrace,3
theatre,23
long,64
beach,18
california,20
talented,28
song-and-dance,1
men,127
hottest,4
act,42
business,106
time,315
befriend,4
romantically,3
involved,32
beautiful,60
haynes,1
sister,134
comprise,1
qinawi,1
physically,6
challenged,12
peddler,1
living,155
selling,7
newspaper,3
central,22
cairo,7
train,46
station,27
obsessed,28
hanuma,1
attractive,9
woman,461
sell,23
drink,10
joke,33
relationship,187
actually,26
abu,3
siri,1
strong,26
respected,6
porter,1
struggling,47
unionize,1
fellow,33
worker,30
combat,14
bos,54
exploitative,2
abusive,6
treatment,16
keen,5
chronicle,32
unlikely,48
rise,76
power,190
adolf,3
hitler,8
-,242
dissection,3
third,20
reich,3
also,148
analysis,3
mass,12
psychology,2
desperate,45
crowd,15
deceived,1
shepherded,2
slaughterhouse,2
documentary,164
political,61
troupe,9
headed,11
actor,61
jane,12
fonda,3
donald,8
sutherland,1
traveled,7
town,178
near,33
base,11
u,114
early,45
group,228
put,106
called,84
fta,1
stood,5
f,8
*,10
k,8
army,38
wa,379
aimed,2
convincing,4
voice,33
opposition,4
raging,10
various,33
singer,50
entertainer,6
performed,10
antiwar,1
song,61
skit,2
set,305
panoramic,1
backdrop,20
war-torn,9
egypt,12
director,52
youssef,2
chahine,5
tell,103
highly,16
personal,107
determination,9
amid,25
poverty,10
suffering,15
caused,8
year-old,7
yehia,10
retreat,6
private,34
fantasy,24
longing,3
hollywood,26
dream,180
studying,12
filmmaking,4
america,64
falling,32
discovering,18
lie,46
european,12
occupation,8
profoundly,3
reevaluates,1
identity,75
allegiance,1
mayor,6
informs,3
peasant,3
share,105
irrigation,1
land,95
split,6
equally,6
feudal,7
lord,28
mahmoud,2
bey,3
send,8
muhammad,3
effendi,1
submit,2
petition,2
government,55
proposes,5
project,25
would,60
require,1
taking,47
part,68
close,60
decide,66
police,144
lawyer,45
friendship,101
begin,168
unravel,17
saladin,1
first,279
sultan,2
syria,5
lead,150
muslim,12
campaign,12
invading,3
christian,11
europe,23
crusade,4
movie,94
based,129
story,583
ali,26
baba,6
forty,6
thief,39
thousand,23
night,133
arabian,5
role,49
played,10
dharmendra,1
hema,1
malini,1
play,74
morjina,1
rich,52
landlord,5
flood,2
destroys,9
village,130
purpose,17
people,258
making,60
profit,4
crop,3
doe,114
n't,153
know,89
daughter,213
ahmed,2
ragab,1
poor,22
sailor,2
return,188
alexandria,6
three,245
absence,6
tried,10
save,180
money,106
marry,44
true,170
hamedah,1
trouble,50
harbor,5
old,178
israeli,18
invasion,9
lebanon,10
try,187
sing,10
national,51
anthem,2
citizen,30
search,110
hope,65
south,61
employee,23
disappears,16
singapore,15
shyam,4
travel,103
india,70
investigate,28
becomes,164
entangled,11
deadly,45
plot,52
fliegender,1
zirkus,1
consisted,1
-minute,3
german,17
television,57
special,228
produced,30
wdr,1
west,38
episode,64
broadcast,29
january,10
december,4
shot,35
entirely,3
mostly,3
location,20
bavaria,1
recorded,15
second,54
english,22
aftermath,20
defeat,24
lebanese,11
figure,50
society,75
whose,104
rule,41
seem,23
changed,35
proved,4
extraordinary,43
anticipation,1
civil,27
engulf,2
edited,2
andre,3
gide,1
adaptation,14
activist,23
released,25
prison,78
shaking,4
established,8
among,39
farm,27
governed,1
strict,8
father,289
demonstrating,3
eclecticism,1
elegant,3
melodrama,2
exuberant,4
musical,35
layered,2
allegory,1
profound,6
portrait,28
disillusionment,1
crazed,1
killer,95
blaze,3
trail,11
blood,27
anxious,4
hardened,6
aim,19
mean,40
remake,3
dirty,13
havaldar,1
ratan,4
rookie,13
local,96
duty,20
foot,13
patrol,7
manoranjan,1
street,77
red-light,1
area,32
job,123
strike,29
conversation,10
good-looking,1
nisha,4
violation,1
suppression,1
immoral,2
trafficking,17
witness,37
several,45
soliciting,1
call,48
paddy,2
